C_NAME,TOTAL_SALES
Customer#000112675,1782310.30
Customer#000120872,1782283.85
Customer#000122012,1782283.59
Customer#000108464,1782264.23
Customer#000037069,1782261.37
Customer#000026432,1782253.98
Customer#000062225,1782253.73
Customer#000038336,1782214.31
Customer#000046370,1782206.66
Customer#000138158,1782192.20
Customer#000051362,1782174.36
Customer#000117608,1782151.99
Customer#000105488,1782059.84
Customer#000082301,1782053.38
Customer#000025868,1782046.73
Customer#000092599,1782038.22
Customer#000091754,1782031.73
Customer#000145760,1781942.44
Customer#000055039,1781861.83
Customer#000067673,1781852.51
Customer#000030221,1781757.11
Customer#000098000,1781750.42
Customer#000015710,1781690.40
Customer#000040994,1781637.89
Customer#000001577,1781589.00
Customer#000012581,1781582.01
Customer#000113231,1781570.95
Customer#000051809,1781558.68
Customer#000028261,1781490.79
Customer#000043595,1781470.34
Customer#000074177,1781444.31
Customer#000048548,1781443.88
Customer#000003029,1781437.06
Customer#000076139,1781381.16
Customer#000108605,1781359.35
Customer#000137180,1781265.08
Customer#000041801,1781255.70
Customer#000113591,1781228.18
Customer#000082871,1781172.82
Customer#000056723,1781125.79
Customer#000027164,1781120.95
Customer#000098636,1781109.89
Customer#000066254,1781068.82
Customer#000110702,1781043.61
Customer#000148709,1781034.07
Customer#000019714,1781005.95
Customer#000107666,1781005.57
Customer#000062231,1780932.12
Customer#000071314,1780930.10
Customer#000091340,1780909.98
Customer#000127327,1780889.93
Customer#000116743,1780878.68
Customer#000009734,1780857.19
Customer#000114887,1780794.15
Customer#000038288,1780775.46
Customer#000085739,1780668.84
Customer#000037196,1780595.41
Customer#000058205,1780590.08
Customer#000019789,1780579.34
Customer#000060988,1780563.03
Customer#000058690,1780551.40
Customer#000128324,1780533.09
Customer#000038681,1780494.03
Customer#000148553,1780441.82
Customer#000015263,1780420.06
Customer#000104579,1780400.34
Customer#000038528,1780387.89
Customer#000111278,1780373.12
Customer#000008867,1780289.18
Customer#000029045,1780214.30
Customer#000100325,1780133.62
Customer#000047705,1780114.40
Customer#000149399,1780109.56
Customer#000122123,1780084.28
Customer#000069442,1780026.93
Customer#000023315,1780019.35
Customer#000144251,1780018.09
Customer#000015641,1780006.71
Customer#000113735,1779986.62
Customer#000014036,1779969.49
Customer#000087743,1779968.54
Customer#000020402,1779951.51
Customer#000140315,1779858.50
Customer#000087920,1779855.98
Customer#000146377,1779805.87
Customer#000138305,1779740.52
Customer#000027874,1779737.89
Customer#000092182,1779669.41
Customer#000032735,1779605.32
Customer#000067514,1779578.47
Customer#000098653,1779568.81
Customer#000122407,1779559.23
Customer#000145493,1779539.80
Customer#000146171,1779456.81
Customer#000088709,1779448.09
Customer#000009725,1779406.05
Customer#000081269,1779328.01
Customer#000005060,1779317.25
Customer#000097004,1779315.17
Customer#000001841,1779236.23
Customer#000149849,1779235.82
Customer#000097298,1779234.01
Customer#000103189,1779199.73
Customer#000006523,1779198.24
Customer#000040001,1779195.85
Customer#000059588,1779188.88
Customer#000061505,1779148.51
Customer#000054238,1779078.00
Customer#000016064,1779035.18
Customer#000146987,1778989.27
Customer#000050936,1778980.66
Customer#000004762,1778925.00
Customer#000022052,1778901.42
Customer#000142499,1778863.54
Customer#000144683,1778822.36
Customer#000018602,1778714.83
Customer#000146968,1778694.03
Customer#000072670,1778689.70
Customer#000020909,1778659.88
Customer#000114512,1778597.58
Customer#000056377,1778575.29
Customer#000012947,1778525.14
Customer#000063688,1778506.38
Customer#000003548,1778371.07
Customer#000095767,1778362.29
Customer#000045998,1778357.85
Customer#000087185,1778317.62
Customer#000003404,1778280.72
Customer#000035638,1778272.89
Customer#000040460,1778205.22
Customer#000083584,1778182.72
Customer#000005540,1778182.14
Customer#000118694,1778152.17
Customer#000116978,1778142.98
Customer#000142070,1778097.81
Customer#000105941,1778028.10
Customer#000039484,1778026.47
Customer#000078251,1778024.88
Customer#000025441,1778004.22
Customer#000007256,1777982.82
Customer#000141596,1777981.79
Customer#000023374,1777967.38
Customer#000015323,1777945.91
Customer#000088507,1777927.39
Customer#000068065,1777911.34
Customer#000041147,1777889.68
Customer#000091166,1777880.83
Customer#000087311,1777879.27
Customer#000058037,1777870.99
Customer#000005144,1777856.16
Customer#000113219,1777839.46
Customer#000015088,1777835.81
Customer#000012338,1777807.56
Customer#000037133,1777805.77
Customer#000087674,1777724.87
Customer#000138509,1777708.51
Customer#000028321,1777679.25
Customer#000117676,1777631.31
Customer#000034406,1777626.09
Customer#000037172,1777602.25
Customer#000039163,1777538.90
Customer#000008951,1777484.34
Customer#000139234,1777471.96
Customer#000121910,1777396.66
Customer#000122648,1777387.90
Customer#000061876,1777369.92
Customer#000010208,1777334.31
Customer#000014693,1777263.84
Customer#000095531,1777253.87
Customer#000047549,1777236.48
Customer#000100757,1777207.07
Customer#000083854,1777190.19
Customer#000069833,1777179.06
Customer#000016741,1777168.54
Customer#000022958,1777154.37
Customer#000141695,1777146.91
Customer#000088097,1777142.35
Customer#000075718,1777134.97
Customer#000101027,1777103.55
Customer#000028823,1777094.35
Customer#000018812,1777081.44
Customer#000015770,1777027.42
Customer#000046562,1776981.45
Customer#000099710,1776980.02
Customer#000055241,1776899.36
Customer#000112196,1776863.07
Customer#000096754,1776841.35
Customer#000054386,1776798.49
Customer#000010631,1776743.52
Customer#000096026,1776716.07
Customer#000075869,1776636.02
Customer#000016930,1776604.93
Customer#000149974,1776575.10
Customer#000020552,1776574.18
Customer#000107579,1776564.50
Customer#000100717,1776508.95
Customer#000099967,1776491.37
Customer#000113771,1776467.26
Customer#000136964,1776457.75
Customer#000001919,1776454.06
Customer#000129356,1776446.44
Customer#000144779,1776428.49
Customer#000018064,1776373.51
Customer#000079220,1776371.10
Customer#000066724,1776329.23
Customer#000010529,1776303.16
Customer#000133388,1776269.58
Customer#000028052,1776268.99
Customer#000018824,1776256.38
Customer#000077792,1776235.14
Customer#000073994,1776233.36
Customer#000053969,1776202.82
Customer#000078623,1776194.37
Customer#000084482,1776182.47
Customer#000111770,1776130.38
Customer#000002006,1776089.78
Customer#000134437,1776001.99
Customer#000137723,1775989.46
Customer#000138284,1775952.43
Customer#000100871,1775849.77
Customer#000040817,1775845.03
Customer#000010595,1775709.08
Customer#000064771,1775702.32
Customer#000091787,1775689.97
Customer#000133664,1775656.77
Customer#000008315,1775636.39
Customer#000148448,1775632.85
Customer#000059801,1775631.69
Customer#000087239,1775613.83
Customer#000138848,1775613.09
Customer#000093941,1775602.93
Customer#000097505,1775583.71
Customer#000072566,1775512.48
Customer#000138146,1775503.15
Customer#000087869,1775495.29
Customer#000145445,1775370.95
Customer#000069611,1775297.91
Customer#000033143,1775268.68
Customer#000013403,1775267.90
Customer#000103403,1775264.81
Customer#000020132,1775215.89
Customer#000047356,1775210.63
Customer#000108761,1775161.65
Customer#000037010,1775157.66
Customer#000118811,1775146.62
Customer#000017768,1775134.20
Customer#000103976,1775056.87
Customer#000119768,1775054.16
Customer#000022735,1774969.60
Customer#000031391,1774922.86
Customer#000111803,1774918.59
Customer#000114130,1774910.58
Customer#000140252,1774906.19
Customer#000043124,1774906.17
Customer#000131936,1774904.54
Customer#000109748,1774872.06
Customer#000103922,1774870.98
Customer#000064415,1774865.02
Customer#000020246,1774799.89
Customer#000001484,1774791.55
Customer#000032698,1774763.09
Customer#000058357,1774738.80
Customer#000037460,1774724.49
Customer#000069746,1774672.40
Customer#000132326,1774592.64
Customer#000106136,1774523.05
Customer#000064661,1774518.85
Customer#000141373,1774391.04
Customer#000104324,1774372.27
Customer#000147245,1774363.76
Customer#000130565,1774335.46
Customer#000143030,1774318.49
Customer#000035258,1774299.78
Customer#000145388,1774288.59
Customer#000126527,1774276.71
Customer#000007049,1774199.22
Customer#000015131,1774193.25
Customer#000073973,1774166.92
Customer#000143876,1774150.72
Customer#000003800,1774132.22
Customer#000137354,1774129.07
Customer#000034067,1774088.92
Customer#000018356,1774059.75
Customer#000061064,1774016.57
Customer#000149734,1773947.22
Customer#000119780,1773935.30
Customer#000072305,1773920.80
Customer#000074414,1773896.69
Customer#000013514,1773889.00
Customer#000147278,1773808.38
Customer#000036779,1773784.40
Customer#000084431,1773712.06
Customer#000132949,1773656.33
Customer#000104930,1773635.14
Customer#000017189,1773626.28
Customer#000128992,1773619.16
Customer#000044945,1773535.62
Customer#000033938,1773470.81
Customer#000008348,1773451.91
Customer#000009128,1773439.81
Customer#000124310,1773431.78
Customer#000064517,1773394.84
Customer#000034460,1773374.13
Customer#000118040,1773345.43
Customer#000045826,1773319.26
Customer#000002486,1773305.53
Customer#000132524,1773288.83
Customer#000063656,1773259.97
Customer#000078308,1773191.29
Customer#000006434,1773184.77
Customer#000070310,1773139.95
Customer#000049640,1773133.23
Customer#000071759,1773111.23
Customer#000045439,1773105.52
Customer#000023897,1773095.34
Customer#000131042,1773068.75
Customer#000044573,1773052.36
Customer#000115523,1773041.69
Customer#000046087,1773040.54
Customer#000088946,1773017.67
Customer#000001694,1772999.69
Customer#000010556,1772976.45
Customer#000050888,1772962.64
Customer#000124469,1772959.28
Customer#000089546,1772946.30
Customer#000023960,1772932.86
Customer#000045941,1772922.05
Customer#000058634,1772917.63
Customer#000007637,1772916.41
Customer#000087377,1772895.08
Customer#000078512,1772872.43
Customer#000125312,1772868.13
Customer#000046931,1772779.56
Customer#000136660,1772730.18
Customer#000051262,1772708.39
Customer#000010834,1772699.23
Customer#000106493,1772656.32
Customer#000023393,1772581.00
Customer#000110162,1772495.41
Customer#000003881,1772476.17
Customer#000041507,1772435.47
Customer#000018248,1772404.69
Customer#000014273,1772390.63
Customer#000092857,1772383.76
Customer#000122540,1772329.20
Customer#000079997,1772275.79
Customer#000067379,1772269.02
Customer#000098162,1772251.07
Customer#000029417,1772179.91
Customer#000004691,1772113.39
Customer#000002930,1772058.73
Customer#000090157,1772055.07
Customer#000019208,1772037.70
Customer#000071156,1772031.66
Customer#000093746,1772029.54
Customer#000022520,1772023.54
Customer#000078608,1771992.13
Customer#000149831,1771989.19
Customer#000126280,1771978.48
Customer#000003605,1771946.06
Customer#000029294,1771924.07
Customer#000031576,1771918.35
Customer#000100883,1771860.18
Customer#000046324,1771771.39
Customer#000119561,1771748.86
Customer#000003416,1771703.15
Customer#000052915,1771690.15
Customer#000004135,1771652.55
Customer#000018164,1771629.98
Customer#000115814,1771580.95
Customer#000129848,1771565.07
Customer#000013495,1771508.51
Customer#000045785,1771503.35
Customer#000048596,1771500.35
Customer#000089246,1771487.15
Customer#000143896,1771479.54
Customer#000143816,1771447.23
Customer#000039721,1771418.30
Customer#000099758,1771378.23
Customer#000017177,1771365.63
Customer#000125870,1771360.04
Customer#000146065,1771325.14
Customer#000069113,1771308.62
Customer#000000902,1771306.84
Customer#000028796,1771278.73
Customer#000016567,1771249.25
Customer#000116032,1771243.47
Customer#000148400,1771198.58
Customer#000125458,1771198.50
Customer#000037400,1771179.64
Customer#000106244,1771129.03
Customer#000085736,1771066.39
Customer#000014216,1770916.62
Customer#000147167,1770905.57
Customer#000119743,1770868.42
Customer#000053189,1770849.16
Customer#000011990,1770722.82
Customer#000112745,1770671.14
Customer#000139268,1770645.78
Customer#000125434,1770623.25
Customer#000124670,1770586.23
Customer#000092087,1770555.00
Customer#000043594,1770504.80
Customer#000139979,1770480.34
Customer#000104411,1770479.89
Customer#000017789,1770420.51
Customer#000120155,1770348.93
Customer#000086363,1770326.61
Customer#000080624,1770323.49
Customer#000073649,1770317.11
Customer#000042713,1770277.18
Customer#000074378,1770240.54
Customer#000027380,1770232.31
Customer#000135668,1770195.43
Customer#000029564,1770179.93
Customer#000136571,1770165.12
Customer#000050729,1770128.23
Customer#000057713,1770122.60
Customer#000098252,1770110.42
Customer#000038087,1770107.84
Customer#000056492,1770105.11
Customer#000134252,1770048.16
Customer#000149977,1770009.49
Customer#000022331,1769976.23
Customer#000102368,1769974.68
Customer#000045818,1769938.75
Customer#000091262,1769882.29
Customer#000143021,1769859.23
Customer#000066110,1769855.32
Customer#000004190,1769805.90
Customer#000000368,1769748.78
Customer#000134624,1769678.51
Customer#000027077,1769634.03
Customer#000138878,1769632.79
Customer#000095252,1769627.21
Customer#000046409,1769611.38
Customer#000057188,1769528.93
Customer#000120188,1769527.23
Customer#000136544,1769502.26
Customer#000016760,1769493.81
Customer#000016345,1769455.28
Customer#000046151,1769454.89
Customer#000046844,1769417.14
Customer#000015242,1769403.52
Customer#000140231,1769401.22
Customer#000065093,1769399.05
Customer#000084974,1769299.03
Customer#000026510,1769291.53
Customer#000140306,1769216.38
Customer#000066278,1769208.76
Customer#000137174,1769201.66
Customer#000110603,1769194.48
Customer#000008879,1769161.55
Customer#000044285,1769157.04
Customer#000062023,1769150.26
Customer#000096055,1769130.96
Customer#000028499,1769104.88
Customer#000125762,1769087.98
Customer#000107531,1769057.18
Customer#000037595,1769012.62
Customer#000115919,1769002.31
Customer#000030455,1768985.02
Customer#000104333,1768982.39
Customer#000024560,1768911.50
Customer#000004489,1768787.83
Customer#000111127,1768724.41
Customer#000010337,1768724.34
Customer#000001145,1768707.76
Customer#000039803,1768698.71
Customer#000061196,1768690.11
Customer#000075716,1768579.85
Customer#000033776,1768565.89
Customer#000018305,1768536.05
Customer#000022598,1768528.66
Customer#000092768,1768511.20
Customer#000124799,1768508.30
Customer#000102491,1768508.00
Customer#000094556,1768492.03
Customer#000103046,1768487.09
Customer#000140141,1768421.29
Customer#000114659,1768406.80
Customer#000081638,1768403.49
Customer#000005231,1768402.43
Customer#000019328,1768355.59
Customer#000000356,1768348.87
Customer#000020303,1768344.69
Customer#000038036,1768326.91
Customer#000095264,1768311.53
Customer#000016312,1768310.80
Customer#000017018,1768250.47
Customer#000003830,1768224.26
Customer#000101126,1768220.20
Customer#000040754,1768194.52
Customer#000079298,1768190.83
Customer#000028787,1768188.71
Customer#000138164,1768171.26
Customer#000041399,1768123.24
Customer#000071653,1768066.81
Customer#000052559,1768051.57
Customer#000021293,1768024.10
Customer#000018086,1767989.14
Customer#000118931,1767963.37
Customer#000037906,1767958.22
Customer#000028859,1767926.46
Customer#000024487,1767864.76
Customer#000100852,1767825.86
Customer#000040315,1767790.19
Customer#000086903,1767769.98
Customer#000016463,1767726.81
Customer#000091532,1767692.80
Customer#000148379,1767666.21
Customer#000094928,1767641.51
Customer#000034295,1767510.97
Customer#000099959,1767506.57
Customer#000105731,1767496.54
Customer#000028067,1767491.42
Customer#000107908,1767478.01
Customer#000106754,1767474.32
Customer#000025151,1767432.18
Customer#000140549,1767421.24
Customer#000012758,1767412.28
Customer#000127004,1767404.55
Customer#000003215,1767392.93
Customer#000145661,1767344.33
Customer#000092800,1767285.40
Customer#000033257,1767282.77
Customer#000031007,1767243.04
Customer#000102110,1767240.57
Customer#000099058,1767238.11
Customer#000022748,1767236.26
Customer#000025604,1767227.68
Customer#000008846,1767194.56
Customer#000136076,1767149.60
Customer#000012386,1767135.03
Customer#000065609,1767109.82
Customer#000121214,1767107.76
Customer#000090203,1767062.35
Customer#000079580,1767054.38
Customer#000055966,1767052.37
Customer#000136976,1767030.73
Customer#000139247,1767018.21
Customer#000126565,1766988.98
Customer#000064124,1766921.77
Customer#000040660,1766917.53
Customer#000068939,1766908.43
Customer#000111185,1766906.73
Customer#000090413,1766882.64
Customer#000003502,1766872.14
Customer#000041371,1766864.87
Customer#000013589,1766850.90
Customer#000104890,1766839.54
Customer#000044077,1766783.05
Customer#000052750,1766753.51
Customer#000047222,1766753.49
Customer#000116335,1766752.61
Customer#000128603,1766747.82
Customer#000101228,1766740.19
Customer#000090776,1766718.60
Customer#000076637,1766712.54
Customer#000063428,1766694.46
Customer#000066710,1766638.52
Customer#000085375,1766630.90
Customer#000035531,1766623.87
Customer#000122480,1766531.47
Customer#000029354,1766526.46
Customer#000063881,1766510.44
Customer#000070940,1766496.83
Customer#000146069,1766477.01
Customer#000084254,1766476.18
Customer#000019766,1766471.55
Customer#000073802,1766456.27
Customer#000093296,1766447.49
Customer#000050165,1766375.12
Customer#000131612,1766337.23
Customer#000013352,1766335.72
Customer#000037088,1766265.74
Customer#000088322,1766254.71
Customer#000120992,1766203.43
Customer#000059038,1766192.63
Customer#000019781,1766191.68
Customer#000106117,1766190.21
Customer#000103223,1766181.79
Customer#000126329,1766150.73
Customer#000149938,1766149.49
Customer#000068818,1766142.46
Customer#000129050,1766134.16
Customer#000011458,1766108.62
Customer#000081302,1766101.93
Customer#000072071,1766087.44
Customer#000080203,1766032.62
Customer#000084857,1766006.35
Customer#000132698,1765945.44
Customer#000037763,1765915.67
Customer#000106259,1765886.76
Customer#000001916,1765868.38
Customer#000147113,1765855.20
Customer#000079121,1765824.51
Customer#000091709,1765815.19
Customer#000128168,1765767.97
Customer#000051527,1765756.68
Customer#000141860,1765730.27
Customer#000111968,1765682.64
Customer#000101867,1765644.43
Customer#000012533,1765596.80
Customer#000116309,1765581.50
Customer#000102071,1765580.68
Customer#000070859,1765534.31
Customer#000047944,1765524.56
Customer#000066086,1765515.34
Customer#000118432,1765485.30
Customer#000059879,1765482.49
Customer#000056720,1765461.22
Customer#000139298,1765458.11
Customer#000106822,1765457.17
Customer#000082208,1765431.44
Customer#000028022,1765417.90
Customer#000116708,1765393.41
Customer#000004730,1765366.98
Customer#000146425,1765348.35
Customer#000049642,1765284.10
Customer#000052553,1765268.55
Customer#000084728,1765251.79
Customer#000092915,1765248.20
Customer#000130523,1765235.01
Customer#000101566,1765229.06
Customer#000011651,1765187.15
Customer#000005059,1765181.91
Customer#000065981,1765151.08
Customer#000078530,1765096.71
Customer#000012952,1765080.02
Customer#000022655,1765078.24
Customer#000110326,1765069.40
Customer#000044060,1765048.08
Customer#000142946,1765027.65
Customer#000066140,1765024.91
Customer#000049310,1764999.10
Customer#000057581,1764932.31
Customer#000012203,1764890.09
Customer#000074024,1764879.72
Customer#000081568,1764876.20
Customer#000003203,1764867.87
Customer#000126425,1764833.66
Customer#000007448,1764795.30
Customer#000107144,1764759.81
Customer#000034988,1764757.62
Customer#000148205,1764736.74
Customer#000092374,1764732.29
Customer#000136841,1764725.49
Customer#000128117,1764716.08
Customer#000100295,1764709.82
Customer#000025022,1764674.37
Customer#000118967,1764667.68
Customer#000085043,1764632.16
Customer#000122378,1764612.92
Customer#000037745,1764604.61
Customer#000073609,1764593.12
Customer#000133597,1764554.61
Customer#000042734,1764531.82
Customer#000048557,1764511.97
Customer#000050926,1764511.78
Customer#000135707,1764508.84
Customer#000084314,1764493.13
Customer#000144335,1764475.09
Customer#000145814,1764457.55
Customer#000075698,1764438.47
Customer#000069983,1764414.94
Customer#000013193,1764403.84
Customer#000124175,1764394.63
Customer#000000149,1764271.89
Customer#000129799,1764268.29
Customer#000064343,1764242.49
Customer#000077309,1764227.46
Customer#000000713,1764210.78
Customer#000105275,1764173.13
Customer#000085603,1764156.07
Customer#000041462,1764106.49
Customer#000074512,1764041.79
Customer#000140861,1763911.37
Customer#000003989,1763901.80
Customer#000107858,1763889.55
Customer#000126727,1763840.21
Customer#000132484,1763813.86
Customer#000142616,1763768.10
Customer#000043478,1763651.33
Customer#000097633,1763647.98
Customer#000120371,1763632.60
Customer#000115049,1763620.51
Customer#000033038,1763609.71
Customer#000124438,1763598.39
Customer#000012340,1763566.98
Customer#000031427,1763556.20
Customer#000012700,1763540.94
Customer#000028223,1763538.77
Customer#000128834,1763534.69
Customer#000080813,1763530.53
Customer#000128741,1763518.74
Customer#000077111,1763423.15
Customer#000147326,1763362.20
Customer#000021065,1763285.93
Customer#000108119,1763267.10
Customer#000053771,1763263.19
Customer#000098611,1763244.38
Customer#000129578,1763228.25
Customer#000129320,1763186.76
Customer#000105242,1763180.86
Customer#000074950,1763170.24
Customer#000014777,1763167.73
Customer#000133067,1763114.01
Customer#000085469,1763093.06
Customer#000120457,1763071.67
Customer#000098165,1763068.20
Customer#000089510,1763024.16
Customer#000025565,1762955.16
Customer#000022814,1762944.53
Customer#000056648,1762924.64
Customer#000141734,1762916.89
Customer#000130106,1762915.90
Customer#000126311,1762901.49
Customer#000003707,1762887.82
Customer#000068207,1762689.37
Customer#000006359,1762687.91
Customer#000043682,1762660.27
Customer#000120272,1762569.23
Customer#000101819,1762470.76
Customer#000131738,1762462.03
Customer#000058499,1762460.25
Customer#000054152,1762452.91
Customer#000089759,1762426.02
Customer#000096187,1762405.86
Customer#000125420,1762389.34
Customer#000004577,1762358.88
Customer#000146864,1762336.97
Customer#000029570,1762295.13
Customer#000142564,1762281.69
Customer#000123407,1762274.63
Customer#000004427,1762270.23
Customer#000095096,1762217.01
Customer#000017153,1762209.30
Customer#000053819,1762189.20
Customer#000022613,1762043.75
Customer#000113816,1761991.43
Customer#000130945,1761968.31
Customer#000027860,1761950.17
Customer#000075815,1761900.36
Customer#000033296,1761893.53
Customer#000025271,1761877.00
Customer#000143831,1761852.29
Customer#000005785,1761759.56
Customer#000074380,1761734.24
Customer#000013148,1761659.87
Customer#000119513,1761625.61
Customer#000069994,1761616.91
Customer#000142853,1761608.82
Customer#000038914,1761566.47
Customer#000024848,1761562.05
Customer#000092731,1761526.64
Customer#000045251,1761501.02
Customer#000103240,1761451.27
Customer#000053263,1761428.11
Customer#000059201,1761418.73
Customer#000010507,1761413.39
Customer#000068963,1761398.76
Customer#000070055,1761383.05
Customer#000107603,1761366.00
Customer#000129679,1761316.34
Customer#000137434,1761306.55
Customer#000065570,1761260.37
Customer#000109031,1761251.95
Customer#000144377,1761244.40
Customer#000120559,1761196.04
Customer#000006335,1761145.06
Customer#000068441,1761139.15
Customer#000086605,1761111.79
Customer#000075979,1761072.94
Customer#000031748,1761032.05
Customer#000056273,1760958.50
Customer#000109715,1760861.79
Customer#000023282,1760828.54
Customer#000085528,1760813.92
Customer#000019805,1760672.66
Customer#000015992,1760641.79
Customer#000063905,1760636.35
Customer#000113036,1760621.12
Customer#000065447,1760610.81
Customer#000133760,1760585.21
Customer#000141188,1760571.05
Customer#000114877,1760566.22
Customer#000032171,1760539.70
Customer#000022604,1760519.27
Customer#000087992,1760516.46
Customer#000117800,1760504.96
Customer#000112657,1760504.34
Customer#000081998,1760451.39
Customer#000136915,1760434.94
Customer#000119969,1760414.63
Customer#000119102,1760394.57
Customer#000127210,1760341.81
Customer#000075379,1760271.06
Customer#000094541,1760258.40
Customer#000133892,1760243.37
Customer#000103307,1760104.51
